lines,junegunn,justinmk,linuxiscool,mach2,mattdev,thinkvim,wfxr,count
tpope/vim-fugitive,1,1,1,1,1,1,1,7
junegunn/goyo.vim,1,0,1,1,1,1,1,6
neoclide/coc.nvim,1,0,1,1,1,1,1,6
junegunn/fzf,1,1,1,1,1,0,1,6
Yggdroot/indentLine,1,0,1,0,1,1,1,5
junegunn/fzf.vim,1,1,1,1,1,0,0,5
tpope/vim-surround,1,1,1,1,0,0,1,5
tpope/vim-repeat,1,1,1,1,0,0,1,5
iamcco/markdown-preview.nvim,1,0,0,1,0,1,1,4
mbbill/undotree,1,1,0,1,0,0,1,4
sheerun/vim-polyglot,0,0,1,1,1,0,1,4
tpope/vim-rhubarb,1,1,1,1,0,0,0,4
junegunn/gv.vim,1,1,1,1,0,0,0,4
junegunn/vim-easy-align,1,0,1,0,0,0,1,3
justinmk/vim-sneak,0,1,0,1,0,0,1,3
scrooloose/nerdtree,1,0,0,0,1,0,1,3
luochen1990/rainbow,0,0,0,0,1,1,1,3
junegunn/limelight.vim,1,0,1,0,0,0,1,3
alvan/vim-closetag,1,0,1,1,0,0,0,3
tpope/vim-fireplace,1,1,0,0,0,0,1,3
jiangmiao/auto-pairs,0,0,1,1,0,0,1,3
tpope/vim-endwise,1,1,0,0,0,0,1,3
honza/vim-snippets,0,0,0,1,0,1,1,3
ryanoasis/vim-devicons,0,0,0,1,1,1,0,3
tpope/vim-commentary,1,1,0,1,0,0,0,3
norcalli/nvim-colorizer.lua,0,0,0,1,0,1,1,3
mattn/emmet-vim,0,0,0,1,1,1,0,3
liuchengxu/vista.vim,0,0,1,1,0,1,0,3
machakann/vim-highlightedyank,1,0,0,1,0,0,1,3
majutsushi/tagbar,1,0,0,0,1,0,1,3
voldikss/vim-floaterm,0,0,0,1,1,1,0,3
mhinz/vim-signify,1,0,0,0,1,0,1,3
airblade/vim-rooter,0,0,1,1,0,0,1,3
mhinz/vim-startify,0,0,1,1,0,0,1,3
rhysd/git-messenger.vim,1,0,0,1,0,0,1,3
neomake/neomake,0,0,1,0,1,0,0,2
nightsense/snow,1,0,0,0,0,0,1,2
liuchengxu/vim-which-key,0,0,0,1,0,1,0,2
jreybert/vimagit,0,0,1,0,0,1,0,2
ntpeters/vim-better-whitespace,0,0,0,1,0,0,1,2
ludovicchabant/vim-gutentags,0,0,0,0,0,1,1,2
kana/vim-textobj-user,0,0,0,0,0,1,1,2
junegunn/seoul256.vim,1,0,0,0,0,0,1,2
rust-lang/rust.vim,1,0,0,0,0,0,1,2
junegunn/vim-after-object,1,0,0,0,0,0,1,2
pangloss/vim-javascript,1,0,1,0,0,0,0,2
junegunn/vim-emoji,1,0,0,0,1,0,0,2
leafgarland/typescript-vim,0,1,1,0,0,0,0,2
junegunn/vim-github-dashboard,1,0,1,0,0,0,0,2
junegunn/vim-peekaboo,1,0,0,0,0,0,1,2
junegunn/vim-slash,1,0,0,0,0,0,1,2
plasticboy/vim-markdown,0,0,0,0,0,1,1,2
justinmk/vim-gtfo,1,1,0,0,0,0,0,2
psliwka/vim-smoothie,0,0,0,1,0,1,0,2
tpope/vim-dadbod,0,1,0,0,0,1,0,2
scrooloose/nerdcommenter,0,0,1,0,0,0,1,2
morhetz/gruvbox,1,0,0,0,0,0,1,2
guns/vim-clojure-static,1,0,0,0,0,0,1,2
vim-airline/vim-airline,0,0,0,1,0,0,1,2
tpope/vim-unimpaired,0,1,1,0,0,0,0,2
Shougo/context_filetype.vim,0,0,0,0,1,1,0,2
vimwiki/vimwiki,0,0,1,0,0,0,1,2
fatih/vim-go,1,0,0,0,0,0,1,2
tpope/vim-sleuth,0,1,0,1,0,0,0,2
tpope/vim-eunuch,0,1,0,1,0,0,0,2
airblade/vim-gitgutter,0,0,1,1,0,0,0,2
AndrewRadev/switch.vim,1,0,0,0,0,0,1,2
guns/vim-clojure-highlight,1,1,0,0,0,0,0,2
arcticicestudio/nord-vim,1,0,1,0,0,0,0,2
AndrewRadev/splitjoin.vim,1,0,0,0,0,0,1,2
tpope/vim-speeddating,0,0,1,1,0,0,0,2
rhysd/vim-gfm-syntax,0,0,0,0,0,1,0,1
preservim/nerdtree,0,0,1,0,0,0,0,1
preservim/nerdcommenter,0,0,0,0,1,0,0,1
vim-utils/vim-husk,0,0,0,0,0,0,1,1
rhysd/committia.vim,0,0,0,0,0,1,0,1
python-mode/python-mode,1,0,0,0,0,0,0,1
peitalin/vim-jsx-typescript,0,0,1,0,0,0,0,1
vn-ki/coc-clap,0,0,0,0,0,1,0,1
vim-scripts/matchit.zip,0,0,0,0,0,0,1,1
w0ng/vim-hybrid,1,0,0,0,0,0,0,1
vim-scripts/paredit.vim,0,0,0,0,0,0,1,1
w0rp/ale,1,0,0,0,0,0,0,1
numirias/semshi,0,0,0,0,0,0,1,1
osyo-manga/vim-textobj-multiblock,0,0,0,0,0,1,0,1
octol/vim-cpp-enhanced-highlight,1,0,0,0,0,0,0,1
mzlogin/vim-markdown-toc,1,0,0,0,0,0,0,1
yuttie/comfortable-motion.vim,0,0,0,0,0,0,1,1
nelstrom/vim-textobj-rubyblock,0,0,0,0,0,0,1,1
neoclide/coc-eslint,0,0,1,0,0,0,0,1
neoclide/coc-prettier,0,0,1,0,0,0,0,1
yuezk/vim-js,0,0,1,0,0,0,0,1
neoclide/jsonc.vim,0,0,0,0,0,0,1,1
xolox/vim-easytags,0,0,1,0,0,0,0,1
nightsense/cosmic_latte,1,0,0,0,0,0,0,1
will133/vim-dirdiff,0,1,0,0,0,0,0,1
nightsense/stellarized,1,0,0,0,0,0,0,1
wfxr/vim-gitignore,0,0,0,0,0,0,1,1
wfxr/protobuf.vim,0,0,0,0,0,0,1,1
wfxr/minimap.vim,0,0,0,0,0,0,1,1
